State,Total Doses Administered,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Sputnik V Administered,AEFI,18-45 years (Age),45-60 years (Age),60+ years (Age),Total Individuals Vaccinated
Andaman and Nicobar Islands,65866.19767441861,2451.1046511627906,19.71511627906977,57700.563953488374,8165.633720930233,32123.0988372093,27204.779069767443,4.843023255813954,0.0,65674.45348837209,0.0,1.8761061946902655,17829.05309734513,46323.486725663715,23867.2389380531,57806.59302325582
Ladakh,85882.01162790698,3529.9011627906975,27.901162790697676,66914.26744186046,18967.74418604651,38657.854651162794,32146.273255813954,7.005813953488372,5.290697674418604,85752.6453488372,0.0,2.734513274336283,40653.982300884956,33293.734513274336,30067.83185840708,67024.91279069768
Dadra and Nagar Haveli and Daman and Diu,106163.51162790698,8802.456140350878,52.21052631578947,93500.2865497076,13284.064327485381,61091.48538011696,35410.304093567254,14.614035087719298,1.263157894736842,106691.91228070176,0.0,86.75,78710.37272727273,47077.718181818185,19505.236363636363,93620.91228070176
Sikkim,150564.4593023256,6886.116279069767,37.43023255813954,121366.63953488372,29197.81976744186,68414.79651162791,58503.098837209305,26.848837209302324,18.83139534883721,150327.2558139535,0.0,216.83185840707964,59329.398230088496,76120.06194690266,51305.28318584071,121659.52906976744
Nagaland,161008.10465116278,12223.372093023256,103.48255813953489,132744.19186046513,28263.912790697676,81781.41279069768,55576.78488372093,13.046511627906977,21.72093023255814,160456.33720930232,0.0,35.849557522123895,88335.56637168142,72669.91150442477,39854.46017699115,133087.33720930232
Puducherry,157639.78488372092,13160.616279069767,43.616279069767444,133789.08139534883,23850.70348837209,71016.26162790698,67729.94186046511,20.238372093023255,45.395348837209305,157443.83720930232,0.0,16.575221238938052,75138.96460176991,75566.54867256636,56523.10619469026,133928.2558139535
Chandigarh,180367.56395348837,8223.255813953489,45.68023255813954,145326.4941860465,35041.06976744186,86975.28488372093,64799.17441860465,16.732558139534884,116.79651162790698,180053.90697674418,0.0,102.12389380530973,72747.43362831858,87721.52212389381,64320.45132743363,145537.81976744186
Mizoram,183084.31976744186,7121.9941860465115,66.18604651162791,155633.4011627907,27450.918604651164,82018.63372093023,77976.49418604652,14.5,0.7965116279069767,182446.4941860465,0.0,632.0353982300885,77041.11504424778,94656.21238938053,63299.61946902655,156040.01162790696
Arunachal Pradesh,197182.9534883721,11113.0,113.30232558139535,157697.53488372092,39485.41860465116,91222.90697674418,72946.45348837209,58.848837209302324,10.581395348837209,196387.73837209304,0.0,262.7699115044248,101678.53097345133,99283.25663716815,39544.95575221239,158185.0
